-0.0443 0.0022 0.9949 -4.0283 -1.2817 0.8545 -1.8732 3.0542 95.7733 
-0.0369 0.0002 0.9824 -4.7607 -0.1831 0.8545 -2.0984 3.0157 95.8173 
-0.0436 0.0052 0.9808 -8.2397 3.4790 1.1597 -2.4005 3.1091 95.8612 
-0.0460 -0.0015 0.9841 -4.7607 1.0986 0.7324 -2.7521 3.1970 95.9161 
-0.0337 0.0082 0.9804 -5.0049 -0.6104 1.0376 -2.9114 3.1421 95.9381 
-0.0251 0.0042 0.9861 -4.8828 -0.4272 0.1221 -3.1641 3.1256 95.9546 
-0.0333 -0.0029 0.9925 -2.0752 -3.2349 1.4648 -3.3728 3.1201 96.0040 
-0.0408 0.0032 0.9829 0.0610 1.7090 2.0142 -3.3508 3.1146 96.1084 
-0.0430 0.0005 0.9849 -0.6714 0.3052 1.4648 -3.3234 3.1531 96.2347 
-0.0433 0.0062 0.9924 -2.4414 -3.1738 0.4272 -3.3673 3.0927 96.2952 
-0.0327 0.0025 0.9816 -2.1973 0.3052 0.3662 -3.5541 3.0817 96.2842 
-0.0497 0.0010 0.9799 -0.8545 2.9297 2.0752 -3.5870 3.1750 96.3446 
-0.0396 -0.0001 0.9855 -1.7700 -0.4272 2.8687 -3.5156 3.2135 96.5039 
-0.0488 -0.0018 0.9840 -0.5493 -1.0986 2.1973 -3.5321 3.1915 96.6302 
-0.0513 -0.0013 0.9879 -0.7324 -0.7324 1.4648 -3.5046 3.1421 96.7291 
-0.0328 0.0061 0.9880 -0.8545 -1.2817 1.6479 -3.4552 3.0927 96.8170 
-0.0438 0.0098 0.9874 -0.7324 1.2207 1.1597 -3.3069 3.0432 96.8005 
-0.0269 0.0001 0.9861 -2.8076 -0.9155 1.7700 -3.3838 3.1421 96.8555 
-0.0540 0.0092 1.0109 -3.8452 1.5259 1.8311 -3.4882 3.1860 96.9214 
-0.0506 0.0084 0.9834 3.8452 0.7324 0.9155 -3.4497 3.1091 96.9983 
-0.0438 0.0032 0.9890 3.8452 -1.5259 1.0376 -3.3289 3.0487 97.0587 
